Stadium_Name,City,Country,Latitude,Longitude,Timezone_UTC,Matches_Count
AT&T Stadium,Dallas/Arlington,USA,32.748138,-97.093231,-5,9
BC Place,Vancouver,Canada,49.276646,-123.112564,-4,7
BMO Field,Toronto,Canada,43.633087,-79.418961,-4,6
Estadio Akron,Guadalajara,Mexico,20.681721,-103.463135,-6,4
Estadio Banorte,Mexico City,Mexico,19.302837,-99.150803,-6,5
Estadio BBVA,Monterrey,Mexico,25.669132,-100.244621,-6,4
GEHA Field at Arrowhead Stadium,Kansas City,USA,39.048855,-94.484474,-5,6
Gillette Stadium,Boston,USA,42.09079,-71.264404,-4,7
Hard Rock Stadium,Miami,USA,25.95783,-80.239326,-5,7
Levi's Stadium,San Francisco,USA,37.403297,-121.969765,-7,6
Lincoln Financial Field,Philadelphia,USA,39.901325,-75.167862,-5,6
Lumen Field,Seattle,USA,47.595135,-122.331917,-7,6
Mercedes-Benz Stadium,Atlanta,USA,33.755371,-84.401436,-5,8
MetLife Stadium,New York/New Jersey,USA,40.813477,-74.074951,-4,8
NRG Stadium,Houston,USA,29.684702,-95.410965,-6,7
SoFi Stadium,Los Angeles,USA,33.953438,-118.339447,-7,8
