Team_Name,BaseCamp_City,Games_Count,Total_Distance_KM,Longest_Trip_KM,Chain_Distance_KM,Optimal_KM,Vermeidbar_KM,Effizienz_Prozent,Bestes_Quartier,Timezone_Shift_Total_H,Max_Timezone_Diff_H,Avg_Days_Between_Games
Curacao,Boca Raton,3,10135,1946,2702,5404,4730,53,Kansas City,2,1,5.5
Österreich,Goleta,3,9599,2308,3054,6108,3491,64,Dallas/Arlington,4,2,5.5
Bosnien und Herzegowina,Sandy,3,9509,2684,5058,9509,0,100,Sandy,3,3,6.0
England,Kansas City,3,8971,1990,2767,5006,3965,56,New York/New Jersey,2,1,5.0
Jordanien,Portland,3,8830,2606,2315,4630,4200,52,San Francisco,2,2,5.5
Tschechien,Dallas,3,8342,1516,4544,5294,3049,63,Mexico City,3,1,6.5
Neuseeland,San Diego,3,7976,1906,1749,3497,4479,44,Vancouver,0,0,5.5
Japan,Nashville,3,7540,1732,1689,1689,5851,22,Dallas/Arlington,4,2,6.0
Türkei,Mesa,3,7238,1994,1828,3656,3582,51,San Francisco,0,0,6.0
Katar,Santa Barbara,3,7091,1675,1519,2659,4433,37,Seattle,0,0,5.5
Uruguay,Cancun,3,6889,1726,2439,4878,2011,71,Miami,2,2,5.5
Kanada,Vancouver,3,6721,3357,3357,6714,8,100,Vancouver,3,3,6.0
Saudi-Arabien,Austin,3,6659,1780,2090,4180,2479,63,Atlanta,2,1,5.5
Usbekistan,Atlanta,3,6617,2172,2349,4698,1918,71,Houston,3,2,5.0
Schottland,Charlotte,3,6574,1127,1973,3945,2629,60,Boston,0,0,5.5
Deutschland,Winston-Salem,3,6348,1583,2640,5280,1068,83,Toronto,1,1,5.5
Portugal,Palm Beach Gardens,3,6306,1528,1547,3094,3212,49,Houston,2,1,5.5
Kolumbien,Guadalajara,3,5807,2427,2915,5101,706,88,Mexico City,2,2,5.0
Südafrika,Pachuca,3,5621,2074,3943,4976,644,89,Monterrey,2,2,7.0
Schweiz,San Diego,3,5524,1906,2253,3656,1868,66,San Francisco,0,0,5.5
Spanien,Chattanooga,3,5438,2387,2373,4746,692,87,Atlanta,2,2,6.0
Norwegen,Greensboro,3,5425,994,548,548,4877,10,Boston,0,0,4.5
Kroatien,Alexandria,3,5399,1925,2500,4999,400,93,Toronto,1,1,5.0
Kongo,Houston,3,4865,1296,3660,4843,22,100,Houston,2,1,5.5
Australien,San Francisco,3,4854,1279,1329,2659,2195,55,Seattle,0,0,6.0
Ecuador,Columbus,3,4838,990,3405,3590,1248,74,Philadelphia,1,1,5.0
Algerien,Kansas City,3,4820,2390,4797,4797,23,100,Kansas City,2,2,5.5
Kap Verde,Tampa,3,4520,1276,2502,4180,340,92,Atlanta,1,1,6.0
Iran,Tijuana,3,4268,1734,1553,3106,1162,73,Los Angeles,0,0,5.5
Irak,Greenbrier County,3,4170,917,952,1903,2267,46,New York/New Jersey,0,0,4.5
Brasilien,New York,3,3770,1739,1758,3515,254,93,Philadelphia,0,0,5.5
Niederlande,Kansas City,3,3602,1050,1421,2230,1372,62,Dallas/Arlington,0,0,6.0
Belgien,Renton,3,3530,1538,3302,3498,33,99,Seattle,0,0,6.0
USA,Irvine,3,3408,1592,3106,3106,302,91,Los Angeles,0,0,6.5
Haiti,New York,3,3219,1201,1476,2952,267,92,Philadelphia,0,0,5.5
Tunesien,Monterrey,3,3195,1583,1582,3164,31,99,Monterrey,1,1,5.5
Argentinien,Kansas City,3,2986,742,739,1478,1509,49,Dallas/Arlington,0,0,5.5
Marokko,New York,3,2977,1201,1750,2954,24,99,New York/New Jersey,0,0,5.5
Schweden,Dallas,3,2508,858,1029,2058,451,82,Houston,1,1,5.5
Ägypten,Spokane,3,2384,456,391,391,1993,16,Seattle,0,0,6.0
Ghana,Boston,3,2336,694,1094,1903,433,81,New York/New Jersey,0,0,4.5
Frankreich,Boston,3,1556,439,545,823,733,53,New York/New Jersey,0,0,5.0
Panama,New Tecumseth,3,1479,603,540,1080,398,73,Toronto,0,0,4.5
Paraguay,San Francisco,3,1355,562,505,1009,346,74,San Francisco,0,0,6.5
Südkorea,Guadalajara,3,1331,639,645,1289,41,97,Guadalajara,0,0,6.5
Senegal,New York,3,1154,552,540,1080,73,94,New York/New Jersey,0,0,5.0
Elfenbeinküste,Philadelphia,3,1103,540,1089,1089,15,99,Philadelphia,0,0,5.0
Mexiko,Mexico City,3,958,475,952,952,7,99,Mexico City,0,0,7.0
